run_utc	entity_id	entity_type	canonical_name	alias_name	normalized_alias_name	alias_type	resolution_method	similarity	source	source_doc_id	source_url
20260217T090720Z	entity-4698c87b28037f89	person	Ace Greenberg	Ace Greenberg	ace greenberg	canonical	exact	1.00	canonical_seed		
20260217T090720Z	entity-4698c87b28037f89	person	Ace Greenberg	Ace Greenberg	ace greenberg	profile_slug	canonical_create	1.00	profiles		
20260217T090720Z	entity-f5a72c04f6dd7552	person	Adriana Ross	Adriana Ross	adriana ross	canonical	exact	1.00	canonical_seed		
20260217T090720Z	entity-f5a72c04f6dd7552	person	Adriana Ross	Adriana Ross	adriana ross	profile_slug	canonical_create	1.00	profiles		
20260217T090720Z	entity-679804c61adb852d	person	Alan Dershowitz	Alan Dershowitz	alan dershowitz	canonical	exact	1.00	canonical_seed		
20260217T090720Z	entity-679804c61adb852d	person	Alan Dershowitz	Alan Dershowitz	alan dershowitz	profile_slug	canonical_create	1.00	profiles		
20260217T090720Z	entity-036ae4632e833c81	organization	AP	AP	ap	asserted_by	canonical_create	1.00	claim_registry		
20260217T090720Z	entity-036ae4632e833c81	organization	AP	AP	ap	canonical	exact	1.00	canonical_seed		
20260217T090720Z	entity-1224cb9b9413e417	person	Bill Clinton	Bill Clinton	bill clinton	canonical	exact	1.00	canonical_seed		
20260217T090720Z	entity-1224cb9b9413e417	person	Bill Clinton	Bill Clinton	bill clinton	profile_slug	canonical_create	1.00	profiles		
20260217T090720Z	entity-1aa87865f2661e67	person	Bill Gates	Bill Gates	bill gates	canonical	exact	1.00	canonical_seed		
20260217T090720Z	entity-1aa87865f2661e67	person	Bill Gates	Bill Gates	bill gates	profile_slug	canonical_create	1.00	profiles		
20260217T090720Z	entity-93fb04647e3bb66c	person	Bill Richardson	Bill Richardson	bill richardson	canonical	exact	1.00	canonical_seed		
20260217T090720Z	entity-93fb04647e3bb66c	person	Bill Richardson	Bill Richardson	bill richardson	profile_slug	canonical_create	1.00	profiles		
20260217T090720Z	entity-5b324f883bea1785	person	Brad Karp	Brad Karp	brad karp	canonical	exact	1.00	canonical_seed		
20260217T090720Z	entity-5b324f883bea1785	person	Brad Karp	Brad Karp	brad karp	profile_slug	canonical_create	1.00	profiles		
20260217T090720Z	entity-151d0766bc9ea7e5	person	Brett Ratner	Brett Ratner	brett ratner	canonical	exact	1.00	canonical_seed		
20260217T090720Z	entity-151d0766bc9ea7e5	person	Brett Ratner	Brett Ratner	brett ratner	profile_slug	canonical_create	1.00	profiles		
20260217T090720Z	entity-26fdf29c448e0da9	person	Casey Wasserman	Casey Wasserman	casey wasserman	canonical	exact	1.00	canonical_seed		
20260217T090720Z	entity-26fdf29c448e0da9	person	Casey Wasserman	Casey Wasserman	casey wasserman	extracted_variant	canonical_create	1.00	claim_registry		
20260217T090720Z	entity-b728212cae942eee	person	Commerce Secretary Howard Lutnick	Commerce Secretary Howard Lutnick	commerce secretary howard lutnick	canonical	exact	1.00	canonical_seed		
20260217T090720Z	entity-b728212cae942eee	person	Commerce Secretary Howard Lutnick	Commerce Secretary Howard Lutnick	commerce secretary howard lutnick	extracted_variant	canonical_create	1.00	claim_registry		
20260217T090720Z	entity-9b99eb08b55078d3	organization	Courtney Wild	Courtney Wild	courtney wild	canonical	exact	1.00	canonical_seed		
20260217T090720Z	entity-9b99eb08b55078d3	organization	Courtney Wild	Courtney Wild	courtney wild	profile_slug	canonical_create	1.00	profiles		
