ingested_at_utc	doc_id	source_system	source_tier	capture_method	content_checksum	document_type	jurisdiction	title	doc_date	url	citation	entity_tags	status	extracted_from
20260217T090715Z	doc-courtlistener-91fb18783934	courtlistener	tier1_primary	api	d82d037aefb0dc2911f3a3e57a18e77f9b042a44	court_record	District Court, S.D. New York	Giuffre v. Maxwell	2016-02-29	https://www.courtlistener.com/opinion/7318626/giuffre-v-maxwell/	15 Civ. 7433 (RWS)	jeffrey_epstein,ghislaine_maxwell	Published	courtlistener:Ghislaine Maxwell
20260217T090715Z	doc-courtlistener-0baf3159397f	courtlistener	tier1_primary	api	0a52e737ab06c0789fc1eb349ae0f98f38ab771d	court_record	District Court, S.D. New York	Giuffre v. Maxwell	2016-11-21	https://www.courtlistener.com/opinion/7322971/giuffre-v-maxwell/	15 Civ. 7433	jeffrey_epstein,ghislaine_maxwell	Published	courtlistener:Ghislaine Maxwell
20260217T090715Z	doc-courtlistener-26b97f011ccc	courtlistener	tier1_primary	api	66a7287873f560cebe68fc98a57c68b8303d395c	court_record	District Court, S.D. Illinois	Giuffre v. Maxwell	2018-08-27	https://www.courtlistener.com/opinion/7331533/giuffre-v-maxwell/	15 Civ. 7433	jeffrey_epstein,ghislaine_maxwell	Published	courtlistener:Ghislaine Maxwell
20260217T090715Z	doc-courtlistener-024c3511ac6a	courtlistener	tier1_primary	api	d17a7de1692a2ee8fa1e7c6f6bedcbfa816c4b3b	court_record	Court of Appeals for the Second Circuit	Brown v. Maxwell Dershowitz v. Giuffre	2019-07-03	https://www.courtlistener.com/opinion/4636326/brown-v-maxwell-dershowitz-v-giuffre/	18-2868 16-3945-cv(L)	jeffrey_epstein,ghislaine_maxwell	Published	courtlistener:Ghislaine Maxwell
20260217T090715Z	doc-courtlistener-3374601313ac	courtlistener	tier1_primary	api	41adebbf5b4b6285fca1a96eb621ea7a90c46425	court_record	Court of Appeals for the Second Circuit	Brown v. Maxwell Dershowitz v. Giuffre	2019-07-03	https://www.courtlistener.com/opinion/4636340/brown-v-maxwell-dershowitz-v-giuffre/	18-2868 16-3945-cv(L)	jeffrey_epstein,ghislaine_maxwell	Published	courtlistener:Ghislaine Maxwell
20260217T090715Z	doc-govinfo-transcript-a8f202600243	govinfo_wssearch	tier1_primary	api	a708722e3737331fad9190233f611c051dddf505	congressional_record_transcript	US Congress	Jeffrey Epstein (Executive Session)	2019-07-09	https://www.govinfo.gov/content/pkg/CREC-2019-07-09/html/CREC-2019-07-09-pt1-PgS4708-3.htm	165 Cong. Rec. S4708  - Jeffrey Epstein (Executive Session)	jeffrey_epstein,ghislaine_maxwell,congressional_transcript	published	"govinfo_wssearch:""Jeffrey Epstein"" collection:CREC"
20260217T090715Z	doc-courtlistener-176880d5475c	courtlistener	tier1_primary	api	e9126d9913976e6fdd37f8d2a76957aaea33beb0	court_record	Court of Appeals for the Second Circuit	United States v. Maxwell	2024-09-17	https://www.courtlistener.com/opinion/10119519/united-states-v-maxwell/	22-1426	jeffrey_epstein,ghislaine_maxwell	Published	courtlistener:Ghislaine Maxwell
20260217T090715Z	doc-govinfo-transcript-06ad6deaa89c	govinfo_wssearch	tier1_primary	api	288ba1e9304864bc3112843d18972e9a15dfd480	congressional_record_transcript	US Congress	Jeffrey Epstein (Executive Calendar)	2025-02-05	https://www.govinfo.gov/content/pkg/CREC-2025-02-05/html/CREC-2025-02-05-pt1-PgS609.htm	171 Cong. Rec. S609  - Jeffrey Epstein (Executive Calendar)	jeffrey_epstein,ghislaine_maxwell,congressional_transcript	published	"govinfo_wssearch:""Jeffrey Epstein"" collection:CREC"
20260217T090715Z	doc-doj-opa-first-phase	justice_opa	tier1_primary	manual	b696011a6f4ef727e6c29f91ab833a2522831826	agency_release	US DOJ	Attorney General Pamela Bondi releases first phase of declassified Epstein files	2025-02-27	https://www.justice.gov/opa/pr/attorney-general-pamela-bondi-releases-first-phase-declassified-epstein-files	DOJ OPA	doj,epstein_files	published	justice_opa
20260217T090715Z	doc-govtrack-hr4405	govtrack	tier1_primary	html_scrape	7160a1466686ef7880293a5ae16bb8e7791afc26	congressional_bill	US Congress	Epstein Files Transparency Act (H.R. 4405) - GovTrack.us	2025-07-15	https://www.govtrack.us/congress/bills/119/hr4405	H.R. 4405	epstein_files_transparency_act	enacted	govtrack
