change_type	doc_id	source_system	document_type	doc_date	status	url	detail
added	doc-govinfo-transcript-32517ca53042	govinfo_wssearch	congressional_record_transcript	2025-07-30	published	https://www.govinfo.gov/content/pkg/CREC-2025-07-30/html/CREC-2025-07-30-pt1-PgS4921-5.htm	Text of Senate Amendment 3140
added	doc-govinfo-transcript-c9be0e03d017	govinfo_wssearch	congressional_record_transcript	2025-07-17	published	https://www.govinfo.gov/content/pkg/CREC-2025-07-17/html/CREC-2025-07-17-pt1-PgS4459-2.htm	SENATE RESOLUTION 325--EXPRESSING THE SENSE OF THE SENATE THAT THE DEPARTMENT OF JUSTICE SHOULD RELEASE APPROPRIATE, NON-SENSITIVE MATERIALS RELATED TO THE INVESTIGATION OF JEFFREY EPSTEIN TO...
added	doc-govinfo-transcript-d2204fbbbd6e	govinfo_wssearch	congressional_record_transcript	2026-02-12	published	https://www.govinfo.gov/content/pkg/CREC-2026-02-12/html/CREC-2026-02-12-pt1-PgS610.htm	SUBMISSION OF CONCURRENT AND SENATE RESOLUTIONS
added	doc-recap-31328936be79	courtlistener_recap	pacer_recap_document	2026-01-22	unavailable	https://www.courtlistener.com/docket/72177563/1/4/doe-v-estate-of-jeffrey-epstein/	Doe v. Estate of Jeffrey Epstein - Summon(s)
added	doc-recap-e58c10b2d148	courtlistener_recap	pacer_recap_document	2026-01-22	unavailable	https://www.courtlistener.com/docket/72177563/1/2/doe-v-estate-of-jeffrey-epstein/	Doe v. Estate of Jeffrey Epstein - Summon(s)
removed	doc-govinfo-transcript-3d4ac810913a	govinfo_wssearch	congressional_record_transcript	2025-09-03	published	https://www.govinfo.gov/content/pkg/CREC-2025-09-03/html/CREC-2025-09-03-pt1-PgH3771.htm	PROVIDING FOR CONSIDERATION OF H.R. 4553, ENERGY AND WATER DEVELOPMENT AND RELATED AGENCIES APPROPRIATIONS ACT, 2026; PROVIDING FOR CONSIDERATION OF H.J. RES. 104, PROVIDING FOR CONGRESSIONAL...
removed	doc-govinfo-transcript-715e3f2e3283	govinfo_wssearch	congressional_record_transcript	2024-01-09	published	https://www.govinfo.gov/content/pkg/CREC-2024-01-09/html/CREC-2024-01-09-pt1-PgS35-3.htm	Sex Trafficking (Executive Calendar)
removed	doc-govinfo-transcript-cf78b738c498	govinfo_wssearch	congressional_hearing_transcript	2025-09-09	published	https://www.govinfo.gov/content/pkg/CHRG-119hhrg61719/html/CHRG-119hhrg61719.htm	Better Meals, Fewer Pills: Making Our Children Healthy Again
removed	doc-recap-483f952e3953	courtlistener_recap	pacer_recap_document	2026-01-22	unavailable	https://www.courtlistener.com/docket/72177563/1/3/doe-v-estate-of-jeffrey-epstein/	Doe v. Estate of Jeffrey Epstein - Summon(s)
removed	doc-recap-f4a2eb2288d2	courtlistener_recap	pacer_recap_document	2026-01-22	unavailable	https://www.courtlistener.com/docket/72177563/1/1/doe-v-estate-of-jeffrey-epstein/	Doe v. Estate of Jeffrey Epstein - Civil Cover Sheet
