change_type	doc_id	source_system	document_type	doc_date	status	url	detail
added	doc-govinfo-transcript-06ad6deaa89c	govinfo_wssearch	congressional_record_transcript	2025-02-05	published	https://www.govinfo.gov/content/pkg/CREC-2025-02-05/html/CREC-2025-02-05-pt1-PgS609.htm	Jeffrey Epstein (Executive Calendar)
added	doc-govinfo-transcript-07e152ded8cc	govinfo_wssearch	congressional_record_transcript	2025-09-04	published	https://www.govinfo.gov/content/pkg/CREC-2025-09-04/html/CREC-2025-09-04-pt1-PgS6334-3.htm	Text of Senate Amendment 3771
added	doc-govinfo-transcript-14f372471989	govinfo_wssearch	congressional_record_transcript	2025-07-24	published	https://www.govinfo.gov/content/pkg/CREC-2025-07-24/html/CREC-2025-07-24-pt1-PgS4703.htm	SENATE RESOLUTION 335--CALLING ON FEDERAL AND STATE COURTS TO PROVIDE FULL TRANSPARENCY TO THE PEOPLE OF THE UNITED STATES BY UNSEALING MATERIALS CONCERNING MR. JEFFREY EPSTEIN
added	doc-govinfo-transcript-2907b4a49c3e	govinfo_wssearch	congressional_record_transcript	2025-07-17	published	https://www.govinfo.gov/content/pkg/CREC-2025-07-17/html/CREC-2025-07-17-pt1-PgS4440-3.htm	Jeffrey Epstein (Executive Session)
added	doc-govinfo-transcript-32517ca53042	govinfo_wssearch	congressional_record_transcript	2025-07-30	published	https://www.govinfo.gov/content/pkg/CREC-2025-07-30/html/CREC-2025-07-30-pt1-PgS4921-5.htm	Text of Senate Amendment 3140
added	doc-govinfo-transcript-3a1bb17f6c87	govinfo_wssearch	congressional_record_transcript	2025-07-24	published	https://www.govinfo.gov/content/pkg/CREC-2025-07-24/html/CREC-2025-07-24-pt1-PgS4687-9.htm	Jeffrey Epstein (Executive Session)
added	doc-govinfo-transcript-3a3036445819	govinfo_wssearch	congressional_record_transcript	2025-07-16	published	https://www.govinfo.gov/content/pkg/CREC-2025-07-16/html/CREC-2025-07-16-pt1-PgH3324-2.htm	RELEASE THE EPSTEIN FILES
added	doc-govinfo-transcript-3d4ac810913a	govinfo_wssearch	congressional_record_transcript	2025-09-03	published	https://www.govinfo.gov/content/pkg/CREC-2025-09-03/html/CREC-2025-09-03-pt1-PgH3771.htm	PROVIDING FOR CONSIDERATION OF H.R. 4553, ENERGY AND WATER DEVELOPMENT AND RELATED AGENCIES APPROPRIATIONS ACT, 2026; PROVIDING FOR CONSIDERATION OF H.J. RES. 104, PROVIDING FOR CONGRESSIONAL...
added	doc-govinfo-transcript-5f5797d2fdf5	govinfo_wssearch	congressional_record_transcript	2025-07-29	published	https://www.govinfo.gov/content/pkg/CREC-2025-07-29/html/CREC-2025-07-29-pt1-PgS4789.htm	Nomination of Emil J. Bove III (Executive Session)
added	doc-govinfo-transcript-69c3f9d9ce3c	govinfo_wssearch	congressional_record_transcript	2025-09-02	published	https://www.govinfo.gov/content/pkg/CREC-2025-09-02/html/CREC-2025-09-02-pt1-PgD857.htm	Daily Digest/House Committee Meetings
added	doc-govinfo-transcript-748ff468f3e8	govinfo_wssearch	congressional_record_transcript	2026-01-06	published	https://www.govinfo.gov/content/pkg/CREC-2026-01-06/html/CREC-2026-01-06-pt1-PgS21.htm	Jeffrey Epstein (Executive Session)
added	doc-govinfo-transcript-87369a54eb87	govinfo_wssearch	congressional_record_transcript	2025-12-16	published	https://www.govinfo.gov/content/pkg/CREC-2025-12-16/html/CREC-2025-12-16-pt1-PgS8750.htm	JEFFREY EPSTEIN
added	doc-govinfo-transcript-9f68ddb1066b	govinfo_wssearch	congressional_record_transcript	2025-08-02	published	https://www.govinfo.gov/content/pkg/CREC-2025-08-02/html/CREC-2025-08-02-pt1-PgS5502-3.htm	Jeffrey Epstein (Executive Calendar)
added	doc-govinfo-transcript-a611ef03043f	govinfo_wssearch	congressional_record_transcript	2025-09-18	published	https://www.govinfo.gov/content/pkg/CREC-2025-09-18/html/CREC-2025-09-18-pt1-PgH4420-3.htm	A LETTER FROM SURVIVORS OF JEFFREY EPSTEIN AND GHISLAINE MAXWELL
added	doc-govinfo-transcript-a8f202600243	govinfo_wssearch	congressional_record_transcript	2019-07-09	published	https://www.govinfo.gov/content/pkg/CREC-2019-07-09/html/CREC-2019-07-09-pt1-PgS4708-3.htm	Jeffrey Epstein (Executive Session)
added	doc-govinfo-transcript-b66bdb2e75c0	govinfo_wssearch	congressional_record_transcript	2025-09-09	published	https://www.govinfo.gov/content/pkg/CREC-2025-09-09/html/CREC-2025-09-09-pt1-PgS6445-2.htm	Jeffrey Epstein (Executive Session)
added	doc-govinfo-transcript-b86d98d3e693	govinfo_wssearch	congressional_record_transcript	2025-07-30	published	https://www.govinfo.gov/content/pkg/CREC-2025-07-30/html/CREC-2025-07-30-pt1-PgS4858-2.htm	Jeffrey Epstein (Executive Session)
added	doc-govinfo-transcript-c771c1d91c83	govinfo_wssearch	congressional_record_transcript	2025-09-02	published	https://www.govinfo.gov/content/pkg/CREC-2025-09-02/html/CREC-2025-09-02-pt1-PgH3756.htm	PUBLIC BILLS AND RESOLUTIONS
added	doc-govinfo-transcript-c9be0e03d017	govinfo_wssearch	congressional_record_transcript	2025-07-17	published	https://www.govinfo.gov/content/pkg/CREC-2025-07-17/html/CREC-2025-07-17-pt1-PgS4459-2.htm	SENATE RESOLUTION 325--EXPRESSING THE SENSE OF THE SENATE THAT THE DEPARTMENT OF JUSTICE SHOULD RELEASE APPROPRIATE, NON-SENSITIVE MATERIALS RELATED TO THE INVESTIGATION OF JEFFREY EPSTEIN TO...
added	doc-govinfo-transcript-d2204fbbbd6e	govinfo_wssearch	congressional_record_transcript	2026-02-12	published	https://www.govinfo.gov/content/pkg/CREC-2026-02-12/html/CREC-2026-02-12-pt1-PgS610.htm	SUBMISSION OF CONCURRENT AND SENATE RESOLUTIONS
added	doc-govinfo-transcript-db958ed50987	govinfo_wssearch	congressional_record_transcript	2025-09-03	published	https://www.govinfo.gov/content/pkg/CREC-2025-09-03/html/CREC-2025-09-03-pt1-PgH3780.htm	COMMITTEE ON OVERSIGHT AND GOVERNMENT REFORM EPSTEIN INVESTIGATION
added	doc-govinfo-transcript-f78a7e0b748b	govinfo_wssearch	congressional_record_transcript	2026-02-12	published	https://www.govinfo.gov/content/pkg/CREC-2026-02-12/html/CREC-2026-02-12-pt1-PgS613.htm	SENATE RESOLUTION 608--EXPRESSING THE SENSE OF THE SENATE THAT GHISLAINE MAXWELL SHOULD NOT BE GRANTED A PRESIDENTIAL PARDON OR ANY FORM OF CLEMENCY FOR HER CRIMES WITH JEFFREY EPSTEIN RELATING TO...
added	doc-recap-00986069822e	courtlistener_recap	pacer_recap_document	2025-12-17	available	https://www.courtlistener.com/docket/72049470/1/6/maxwell-v-united-states/	Maxwell v. United States - Exhibit 6
added	doc-recap-4320e95df51d	courtlistener_recap	pacer_recap_document	2025-12-17	available	https://www.courtlistener.com/docket/72049470/1/3/maxwell-v-united-states/	Maxwell v. United States - Exhibit 3
added	doc-recap-483f952e3953	courtlistener_recap	pacer_recap_document	2026-01-22	unavailable	https://www.courtlistener.com/docket/72177563/1/3/doe-v-estate-of-jeffrey-epstein/	Doe v. Estate of Jeffrey Epstein - Summon(s)
added	doc-recap-b7927f87d53a	courtlistener_recap	pacer_recap_document	2025-12-17	available	https://www.courtlistener.com/docket/72049470/1/maxwell-v-united-states/	Maxwell v. United States - Motion to Vacate/Set Aside/Correct Sentence (2255)
added	doc-recap-db2c7f606478	courtlistener_recap	pacer_recap_document	2026-01-22	available	https://www.courtlistener.com/docket/72177563/1/doe-v-estate-of-jeffrey-epstein/	Doe v. Estate of Jeffrey Epstein - Complaint
added	doc-recap-f4a2eb2288d2	courtlistener_recap	pacer_recap_document	2026-01-22	unavailable	https://www.courtlistener.com/docket/72177563/1/1/doe-v-estate-of-jeffrey-epstein/	Doe v. Estate of Jeffrey Epstein - Civil Cover Sheet
